date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202121,ZG,female,2457,sex,63567,22915,3.87,36.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.441,44.1
202122,ZG,female,3028,sex,63567,25943,4.76,40.81,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202123,ZG,female,2608,sex,63567,28551,4.1,44.91,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.474,47.4
202124,ZG,female,2056,sex,63567,30607,3.23,48.15,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.454,45.4
202125,ZG,female,2055,sex,63567,32662,3.23,51.38,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.445,44.5
202126,ZG,female,792,sex,63567,33454,1.25,52.63,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.462,46.2
202127,ZG,female,562,sex,63567,34016,0.88,53.51,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.458,45.800000000000004
202128,ZG,female,349,sex,63567,34365,0.55,54.06,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.471,47.099999999999994
202129,ZG,female,388,sex,63567,34753,0.61,54.67,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.465,46.5
202130,ZG,female,505,sex,63567,35258,0.79,55.47,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.499,49.9
202131,ZG,female,429,sex,63567,35687,0.67,56.14,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.475,47.5
202132,ZG,female,537,sex,63567,36224,0.84,56.99,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.493,49.3
202133,ZG,female,688,sex,63567,36912,1.08,58.07,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.51,51
202134,ZG,female,783,sex,63567,37695,1.23,59.3,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.496,49.6
202135,ZG,female,758,sex,63567,38453,1.19,60.49,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.505,50.5
202136,ZG,female,1012,sex,63567,39465,1.59,62.08,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.505,50.5
202137,ZG,female,851,sex,63567,40316,1.34,63.42,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.492,49.2
202138,ZG,female,451,sex,63567,40767,0.71,64.13,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.486,48.6
202139,ZG,female,272,sex,63567,41039,0.43,64.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.467,46.7
202140,ZG,female,268,sex,63567,41307,0.42,64.98,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.501,50.1
202141,ZG,female,312,sex,63567,41619,0.49,65.47,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.511,51.1
202142,ZG,female,192,sex,63567,41811,0.3,65.77,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.494,49.4
202143,ZG,female,166,sex,63567,41977,0.26,66.04,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.476,47.599999999999994
202144,ZG,female,150,sex,63567,42127,0.24,66.27,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.5,50
202145,ZG,female,273,sex,63567,42400,0.43,66.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202146,ZG,female,171,sex,63567,42571,0.27,66.97,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.457,45.7
202147,ZG,female,198,sex,63567,42769,0.31,67.28,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.562,56.2
202052,ZG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202053,ZG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202101,ZG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202102,ZG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202103,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202104,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202105,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202106,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202107,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202108,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202109,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202110,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202111,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202112,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202113,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202114,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202115,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202116,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202117,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202118,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202119,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202120,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202121,ZG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202122,ZG,unknown,1,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202123,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202124,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202125,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202126,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202127,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202128,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202129,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202130,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202131,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202132,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202133,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202134,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202135,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202136,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202137,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202138,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202139,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202140,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202141,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202142,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202143,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202144,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202145,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202146,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202147,ZG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202052,ZH,male,18,sex,774299,18,0,0,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.514,51.4
202053,ZH,male,47,sex,774299,65,0.01,0.01,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.439,43.9
202101,ZH,male,1053,sex,774299,1118,0.14,0.14,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.518,51.800000000000004
202102,ZH,male,1968,sex,774299,3086,0.25,0.4,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.527,52.7
202103,ZH,male,8593,sex,774299,11679,1.11,1.51,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.443,44.3
202104,ZH,male,6891,sex,774299,18570,0.89,2.4,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.448,44.800000000000004
202105,ZH,male,5053,sex,774299,23623,0.65,3.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.451,45.1
202106,ZH,male,7770,sex,774299,31393,1,4.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.374,37.4
202107,ZH,male,2257,sex,774299,33650,0.29,4.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.416,41.6
202108,ZH,male,1403,sex,774299,35053,0.18,4.53,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.461,46.1
202109,ZH,male,1845,sex,774299,36898,0.24,4.77,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.417,41.699999999999996
202110,ZH,male,6172,sex,774299,43070,0.8,5.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.421,42.1
202111,ZH,male,5074,sex,774299,48144,0.66,6.22,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.431,43.1
202112,ZH,male,5987,sex,774299,54131,0.77,6.99,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.441,44.1
202113,ZH,male,7309,sex,774299,61440,0.94,7.93,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.457,45.7
202114,ZH,male,10697,sex,774299,72137,1.38,9.32,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.468,46.800000000000004
202115,ZH,male,22853,sex,774299,94990,2.95,12.27,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.476,47.599999999999994
202116,ZH,male,25504,sex,774299,120494,3.29,15.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.483,48.3
202117,ZH,male,24583,sex,774299,145077,3.17,18.74,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.482,48.199999999999996
202118,ZH,male,29294,sex,774299,174371,3.78,22.52,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.461,46.1
202119,ZH,male,26014,sex,774299,200385,3.36,25.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.509,50.9
202120,ZH,male,29442,sex,774299,229827,3.8,29.68,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.511,51.1
202121,ZH,male,27387,sex,774299,257214,3.54,33.22,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.532,53.2
202122,ZH,male,38282,sex,774299,295496,4.94,38.16,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.523,52.300000000000004
202123,ZH,male,40728,sex,774299,336224,5.26,43.42,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.519,51.9
202124,ZH,male,36427,sex,774299,372651,4.7,48.13,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.52,52
202125,ZH,male,33807,sex,774299,406458,4.37,52.49,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.528,52.800000000000004
202126,ZH,male,11823,sex,774299,418281,1.53,54.02,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.519,51.9
202127,ZH,male,8141,sex,774299,426422,1.05,55.07,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.527,52.7
202128,ZH,male,7556,sex,774299,433978,0.98,56.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.518,51.800000000000004
202129,ZH,male,5340,sex,774299,439318,0.69,56.74,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.511,51.1
202130,ZH,male,5034,sex,774299,444352,0.65,57.39,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.508,50.8
202131,ZH,male,3352,sex,774299,447704,0.43,57.82,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.515,51.5
202132,ZH,male,3782,sex,774299,451486,0.49,58.31,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.508,50.8
202133,ZH,male,4863,sex,774299,456349,0.63,58.94,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.501,50.1
202134,ZH,male,7205,sex,774299,463554,0.93,59.87,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.488,48.8
202135,ZH,male,8562,sex,774299,472116,1.11,60.97,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.501,50.1
202136,ZH,male,11714,sex,774299,483830,1.51,62.49,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.511,51.1
202137,ZH,male,12411,sex,774299,496241,1.6,64.09,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.515,51.5
202138,ZH,male,8918,sex,774299,505159,1.15,65.24,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.513,51.300000000000004
202139,ZH,male,4968,sex,774299,510127,0.64,65.88,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.489,48.9
202140,ZH,male,3625,sex,774299,513752,0.47,66.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.499,49.9
202141,ZH,male,3383,sex,774299,517135,0.44,66.79,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.508,50.8
202142,ZH,male,2769,sex,774299,519904,0.36,67.15,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.502,50.2
202143,ZH,male,2566,sex,774299,522470,0.33,67.48,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.487,48.699999999999996
202144,ZH,male,2450,sex,774299,524920,0.32,67.79,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.517,51.7
202145,ZH,male,2990,sex,774299,527910,0.39,68.18,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.509,50.9
202146,ZH,male,1964,sex,774299,529874,0.25,68.43,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.494,49.4
202147,ZH,male,1840,sex,774299,531714,0.24,68.67,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.495,49.5
202052,ZH,female,17,sex,779124,17,0,0,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.486,48.6
202053,ZH,female,60,sex,779124,77,0.01,0.01,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.561,56.10000000000001
202101,ZH,female,979,sex,779124,1056,0.13,0.14,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.482,48.199999999999996
202102,ZH,female,1769,sex,779124,2825,0.23,0.36,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.473,47.3
202103,ZH,female,10824,sex,779124,13649,1.39,1.75,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.557,55.7
202104,ZH,female,8501,sex,779124,22150,1.09,2.84,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.552,55.2
202105,ZH,female,6147,sex,779124,28297,0.79,3.63,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.549,54.900000000000006
202106,ZH,female,12980,sex,779124,41277,1.67,5.3,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.625,62.5
202107,ZH,female,3172,sex,779124,44449,0.41,5.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.584,58.4
202108,ZH,female,1642,sex,779124,46091,0.21,5.92,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.539,53.900000000000006
202109,ZH,female,2574,sex,779124,48665,0.33,6.25,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.582,58.199999999999996
202110,ZH,female,8494,sex,779124,57159,1.09,7.34,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.579,57.9
202111,ZH,female,6657,sex,779124,63816,0.85,8.19,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.566,56.599999999999994
202112,ZH,female,7582,sex,779124,71398,0.97,9.16,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.559,55.900000000000006
202113,ZH,female,8677,sex,779124,80075,1.11,10.28,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.543,54.300000000000004
202114,ZH,female,12154,sex,779124,92229,1.56,11.84,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.531,53.1
202115,ZH,female,25113,sex,779124,117342,3.22,15.06,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.523,52.300000000000004
202116,ZH,female,27256,sex,779124,144598,3.5,18.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.516,51.6
202117,ZH,female,26411,sex,779124,171009,3.39,21.95,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.518,51.800000000000004
202118,ZH,female,34277,sex,779124,205286,4.4,26.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.539,53.900000000000006
202119,ZH,female,25005,sex,779124,230291,3.21,29.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.49,49
202120,ZH,female,28107,sex,779124,258398,3.61,33.17,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.488,48.8
202121,ZH,female,24021,sex,779124,282419,3.08,36.25,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.467,46.7
202122,ZH,female,34854,sex,779124,317273,4.47,40.72,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.476,47.599999999999994
202123,ZH,female,37674,sex,779124,354947,4.84,45.56,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202124,ZH,female,33503,sex,779124,388450,4.3,49.86,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.478,47.8
202125,ZH,female,30153,sex,779124,418603,3.87,53.73,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.471,47.099999999999994
202126,ZH,female,10910,sex,779124,429513,1.4,55.13,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.479,47.9
202127,ZH,female,7272,sex,779124,436785,0.93,56.06,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.471,47.099999999999994
202128,ZH,female,7007,sex,779124,443792,0.9,56.96,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.48,48
202129,ZH,female,5100,sex,779124,448892,0.65,57.61,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.488,48.8
202130,ZH,female,4868,sex,779124,453760,0.62,58.24,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.491,49.1
202131,ZH,female,3154,sex,779124,456914,0.4,58.64,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.484,48.4
202132,ZH,female,3650,sex,779124,460564,0.47,59.11,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.49,49
202133,ZH,female,4829,sex,779124,465393,0.62,59.73,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.497,49.7
202134,ZH,female,7557,sex,779124,472950,0.97,60.7,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.511,51.1
202135,ZH,female,8496,sex,779124,481446,1.09,61.79,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.498,49.8
202136,ZH,female,11187,sex,779124,492633,1.44,63.23,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.488,48.8
202137,ZH,female,11648,sex,779124,504281,1.5,64.72,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.484,48.4
202138,ZH,female,8432,sex,779124,512713,1.08,65.81,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.485,48.5
202139,ZH,female,5176,sex,779124,517889,0.66,66.47,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.51,51
202140,ZH,female,3636,sex,779124,521525,0.47,66.94,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.5,50
202141,ZH,female,3269,sex,779124,524794,0.42,67.36,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.49,49
202142,ZH,female,2743,sex,779124,527537,0.35,67.71,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.497,49.7
202143,ZH,female,2694,sex,779124,530231,0.35,68.05,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.512,51.2
202144,ZH,female,2285,sex,779124,532516,0.29,68.35,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.482,48.199999999999996
202145,ZH,female,2878,sex,779124,535394,0.37,68.72,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.49,49
202146,ZH,female,2000,sex,779124,537394,0.26,68.97,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.503,50.3
202147,ZH,female,1873,sex,779124,539267,0.24,69.21,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.503,50.3
202052,ZH,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202053,ZH,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202101,ZH,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202102,ZH,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202103,ZH,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202104,ZH,unknown,5,sex,NA,6,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202105,ZH,unknown,3,sex,NA,9,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202106,ZH,unknown,9,sex,NA,18,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202107,ZH,unknown,3,sex,NA,21,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202108,ZH,unknown,1,sex,NA,22,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202109,ZH,unknown,2,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202110,ZH,unknown,2,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202111,ZH,unknown,37,sex,NA,63,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.003,0.3
202112,ZH,unknown,4,sex,NA,67,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202113,ZH,unknown,4,sex,NA,71,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0,0
202114,ZH,unknown,18,sex,NA,89,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202115,ZH,unknown,31,sex,NA,120,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202116,ZH,unknown,31,sex,NA,151,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202117,ZH,unknown,34,sex,NA,185,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202118,ZH,unknown,42,sex,NA,227,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202119,ZH,unknown,40,sex,NA,267,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202120,ZH,unknown,40,sex,NA,307,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202121,ZH,unknown,60,sex,NA,367,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202122,ZH,unknown,76,sex,NA,443,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202123,ZH,unknown,98,sex,NA,541,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202124,ZH,unknown,96,sex,NA,637,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.001,0.1
202125,ZH,unknown,113,sex,NA,750,NA,NA,COVID19AtLeastOneDosePersons,2021-12-02_07-48-44,detailed,0.002,0.2
